,serialid,id,date_str,degrees_from_mean,max_temp,min_temp,type,year,station_name,longitude,latitude,geometry,index_right,STATE,NAME,FIPS
41349,992369,USW00093729,2013-11-25,-11.3,6.7,0.6,Weak Cold,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41350,1000910,USW00093729,2013-09-25,-9.22,22.8,11.1,Weak Cold,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41351,1002727,USW00093729,2013-08-09,4.08,31.1,26.7,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41352,1003336,USW00093729,2013-08-03,4.08,30.6,26.7,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41353,1007545,USW00093729,2013-01-14,9.97,21.7,15.0,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41354,1013435,USW00093729,2013-10-06,6.84,29.4,17.8,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41355,1020251,USW00093729,2013-08-15,-6.13,23.3,20.6,Weak Cold,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41356,1021583,USW00093729,2013-11-01,10.56,25.0,20.6,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41357,1026952,USW00093729,2013-06-29,5.26,29.4,25.6,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41358,1028460,USW00093729,2013-06-23,4.66,30.0,25.0,Weak Hot,2013,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41359,1503265,USW00093729,2012-01-26,9.97,21.7,8.3,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41360,1504154,USW00093729,2012-05-28,8.09,28.3,23.9,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41361,1504826,USW00093729,2012-05-29,8.09,28.3,23.9,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41362,1506115,USW00093729,2012-05-26,6.39,28.3,22.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41363,1506634,USW00093729,2012-05-27,7.49,28.9,23.3,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41364,1507394,USW00093729,2012-05-25,6.39,26.7,22.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41365,1512974,USW00093729,2012-03-16,10.34,22.8,17.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41366,1516096,USW00093729,2012-04-17,8.64,28.3,15.0,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41367,1517919,USW00093729,2012-08-05,4.58,31.7,27.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41368,1520639,USW00093729,2012-07-19,3.89,31.1,26.7,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41369,1526901,USW00093729,2012-11-29,-10.64,11.7,-0.6,Weak Cold,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41370,1528267,USW00093729,2012-05-31,6.39,28.9,22.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41371,1529965,USW00093729,2012-03-29,10.73,26.1,13.3,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41372,1530432,USW00093729,2012-03-24,18.37,23.9,16.7,Strong Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41373,1531148,USW00093729,2012-03-25,8.53,23.9,16.1,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41374,1532472,USW00093729,2012-03-20,9.63,25.0,13.9,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41375,1533395,USW00093729,2012-03-21,10.34,22.8,17.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41376,1534289,USW00093729,2012-03-22,10.34,22.8,17.2,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41377,1535167,USW00093729,2012-03-23,18.87,23.9,17.2,Strong Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41378,1536328,USW00093729,2012-09-01,5.28,31.7,25.6,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41379,1539283,USW00093729,2012-09-05,5.28,30.0,25.6,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41380,1540968,USW00093729,2012-10-02,8.79,26.7,23.9,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41381,1541331,USW00093729,2012-10-03,9.89,27.8,25.0,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41382,1542436,USW00093729,2012-10-04,8.19,28.3,23.3,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41383,1542933,USW00093729,2012-06-30,10.52,32.8,25.6,Strong Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
41384,1546911,USW00093729,2012-07-27,3.89,31.1,26.7,Weak Hot,2012,CAPE HATTERAS AP,-75.6219,35.2325,POINT (-75.6219 35.2325),25,NC,North Carolina,37
